ID,ID2,"Item title","Final URL","Image URL","Item subtitle","Item description","Item category",Price,"Sale price"
1694,,"Шляпная коробка От самого сердца",https://veryberrylab.ru/product/ot-samogo-serdtsa3/,https://veryberrylab.ru/upload/iblock/912/91219fe675048b16ba0b30c9823ebb11.jpg,,"- Прямые поставки свежей клубники, каждое утро, которая бережно отбирается и моется нашими флористами. - Никаких мелких и кривых ягод! - Мы делаем максимально качественные букеты, поэтому вы можете не переживать, что букет не будет соответствовать фотографии.",14,"7890.00 RUB",
1695,,"Шляпная коробка Шоколадное сердце",https://veryberrylab.ru/product/shokoladnoe-serdtse31240765/,https://veryberrylab.ru/upload/iblock/393/393b9a622a36f265b012424521b2ca11.jpg,,"- Прямые поставки свежей клубники, каждое утро, которая бережно отбирается и моется нашими флористами. - Никаких мелких и кривых ягод! - Мы делаем максимально качественные букеты, поэтому вы можете не переживать, что букет не будет соответствовать фотографии.",14,"4390.00 RUB",
1696,,"Шляпная коробка Шоколадное сердце",https://veryberrylab.ru/product/shokoladnoe-serdtse12134326/,https://veryberrylab.ru/upload/iblock/a81/a81effff8ec1376561bf913b49f5e33f.JPG,,"- Прямые поставки свежей клубники, каждое утро, которая бережно отбирается и моется нашими флористами. - Никаких мелких и кривых ягод! - Мы делаем максимально качественные букеты, поэтому вы можете не переживать, что букет не будет соответствовать фотографии.",14,"6790.00 RUB",
1697,,"Шляпная коробка Шоколадное сердце",https://veryberrylab.ru/product/shokoladnoe-serdtse9234256/,https://veryberrylab.ru/upload/iblock/abe/abed648ea482b448f4cf5b06470f7b15.JPG,,"- Прямые поставки свежей клубники, каждое утро, которая бережно отбирается и моется нашими флористами. - Никаких мелких и кривых ягод! - Мы делаем максимально качественные букеты, поэтому вы можете не переживать, что букет не будет соответствовать фотографии.",14,"6590.00 RUB",
1698,,"Шляпная коробка Шоколадное сердце",https://veryberrylab.ru/product/shokoladnoe-serdtse6124453/,https://veryberrylab.ru/upload/iblock/492/4927ed87cc2a66526f63f04a7f7141ec.JPG,,"- Прямые поставки свежей клубники, каждое утро, которая бережно отбирается и моется нашими флористами. - Никаких мелких и кривых ягод! - Мы делаем максимально качественные букеты, поэтому вы можете не переживать, что букет не будет соответствовать фотографии.",14,"6590.00 RUB",
1699,,"Шляпная коробка Шоколадное сердце",https://veryberrylab.ru/product/shokoladnoe-serdtse8546781/,https://veryberrylab.ru/upload/iblock/3b0/3b036b1f1e7b57f85fe4b0aef647d912.JPG,,"- Прямые поставки свежей клубники, каждое утро, которая бережно отбирается и моется нашими флористами. - Никаких мелких и кривых ягод! - Мы делаем максимально качественные букеты, поэтому вы можете не переживать, что букет не будет соответствовать фотографии.",14,"4990.00 RUB",
1700,,"Шляпная коробка Шоколадное сердце",https://veryberrylab.ru/product/shokoladnoe-serdtse3213543/,https://veryberrylab.ru/upload/iblock/ccf/ccf381a5e7f401d189bc4e15a2edab18.JPG,,"- Прямые поставки свежей клубники, каждое утро, которая бережно отбирается и моется нашими флористами. - Никаких мелких и кривых ягод! - Мы делаем максимально качественные букеты, поэтому вы можете не переживать, что букет не будет соответствовать фотографии.",14,"4990.00 RUB",
1701,,"Шляпная коробка Шоколадное сердце",https://veryberrylab.ru/product/shokoladnoe-serdtse21244578/,https://veryberrylab.ru/upload/iblock/bc4/bc4445d92ed35e3167698f7a76ac5c38.JPG,,"- Прямые поставки свежей клубники, каждое утро, которая бережно отбирается и моется нашими флористами. - Никаких мелких и кривых ягод! - Мы делаем максимально качественные букеты, поэтому вы можете не переживать, что букет не будет соответствовать фотографии.",14,"9890.00 RUB",
1702,,"Шляпная коробка Шоколадное сердце",https://veryberrylab.ru/product/shokoladnoe-serdtse2315/,https://veryberrylab.ru/upload/iblock/809/80917c850ed07c09b184ed6e28950da4.JPG,,"- Прямые поставки свежей клубники, каждое утро, которая бережно отбирается и моется нашими флористами. - Никаких мелких и кривых ягод! - Мы делаем максимально качественные букеты, поэтому вы можете не переживать, что букет не будет соответствовать фотографии.",14,"10790.00 RUB",
1703,,"Шляпная коробка Шоколадное сердце",https://veryberrylab.ru/product/shokoladnoe-serdtse578549/,https://veryberrylab.ru/upload/iblock/934/9344bcf7952d1db232d4ea64203d803d.JPG,,"- Прямые поставки свежей клубники, каждое утро, которая бережно отбирается и моется нашими флористами. - Никаких мелких и кривых ягод! - Мы делаем максимально качественные букеты, поэтому вы можете не переживать, что букет не будет соответствовать фотографии.",14,"10490.00 RUB",
1717,,"Шляпная коробка Майбах",https://veryberrylab.ru/product/maybakh/,https://veryberrylab.ru/upload/iblock/561/561bd617173e52b8fd3693a80f35539a.jpg,," - Прямые поставки свежей клубники, каждое утро, которая бережно отбирается и моется нашими флористами. - Никаких мелких и кривых ягод!  - Мы делаем максимально качественные букеты, поэтому вы можете не переживать, что букет не будет соответствовать фотографии.",14,"3290.00 RUB",
