id;title;description;availability;condition;price;link;image_link;brand
855;"Шляпная коробка Малиновый закат";"- Прямые поставки свежей клубники, каждое утро, которая бережно отбирается и моется нашими флористами. - Никаких мелких и кривых ягод! - Мы делаем максимально качественные букеты, поэтому вы можете не переживать, что букет не будет соответствовать фотографии.";"in stock";new;4390.00;https://veryberrylab.ru/product/malinovyy-zakat/;https://veryberrylab.ru/upload/iblock/173/173dadf508ecce82c35a4faf720c9c84.jpg;"Very Berry Lab"
858;"Шляпная коробка Молочный бокс";"- Прямые поставки свежей клубники, каждое утро, которая бережно отбирается и моется нашими флористами. - Никаких мелких и кривых ягод! - Мы делаем максимально качественные букеты, поэтому вы можете не переживать, что букет не будет соответствовать фотографии.";"in stock";new;3290.00;https://veryberrylab.ru/product/molochnyy-boks/;https://veryberrylab.ru/upload/iblock/86f/86fc54e9296a95912e4432370dc05571.jpg;"Very Berry Lab"
860;"Шляпная коробка Новогодняя сказка";"- Прямые поставки свежей клубники, каждое утро, которая бережно отбирается и моется нашими флористами. - Никаких мелких и кривых ягод! - Мы делаем максимально качественные букеты, поэтому вы можете не переживать, что букет не будет соответствовать фотографии.";"in stock";new;10790.00;https://veryberrylab.ru/product/novogodnyaya-skazka/;https://veryberrylab.ru/upload/iblock/7de/7deabfdd635adf90b646ef434c6be526.JPG;"Very Berry Lab"
1687;"Шляпная коробка Самой очаровательной девушке";"- Прямые поставки свежей клубники, каждое утро, которая бережно отбирается и моется нашими флористами. - Никаких мелких и кривых ягод! - Мы делаем максимально качественные букеты, поэтому вы можете не переживать, что букет не будет соответствовать фотографии.";"in stock";new;6090.00;https://veryberrylab.ru/product/samoy-ocharovatelnoy-devushke/;https://veryberrylab.ru/upload/iblock/8dd/8dd95d33ae7ec63d2f8caf27c7f225e0.JPG;"Very Berry Lab"
1691;"Шляпная коробка От самого сердца";"- Прямые поставки свежей клубники, каждое утро, которая бережно отбирается и моется нашими флористами. - Никаких мелких и кривых ягод! - Мы делаем максимально качественные букеты, поэтому вы можете не переживать, что букет не будет соответствовать фотографии.";"in stock";new;7490.00;https://veryberrylab.ru/product/ot-samogo-serdtsa9123345451/;https://veryberrylab.ru/upload/iblock/287/287c48b84690dca369247d29a29bfd15.jpg;"Very Berry Lab"
1692;"Шляпная коробка От самого сердца";"- Прямые поставки свежей клубники, каждое утро, которая бережно отбирается и моется нашими флористами. - Никаких мелких и кривых ягод! - Мы делаем максимально качественные букеты, поэтому вы можете не переживать, что букет не будет соответствовать фотографии.";"in stock";new;6990.00;https://veryberrylab.ru/product/ot-samogo-serdtsa175486672/;https://veryberrylab.ru/upload/iblock/f94/f94673f3b2fa5486c0806d0d080ae77b.jpg;"Very Berry Lab"
1693;"Шляпная коробка От самого сердца";"- Прямые поставки свежей клубники, каждое утро, которая бережно отбирается и моется нашими флористами. - Никаких мелких и кривых ягод! - Мы делаем максимально качественные букеты, поэтому вы можете не переживать, что букет не будет соответствовать фотографии.";"in stock";new;8290.00;https://veryberrylab.ru/product/ot-samogo-serdtsa234235/;https://veryberrylab.ru/upload/iblock/c16/c165b622d4f8103707aa845b7b1fd7a3.jpg;"Very Berry Lab"
1694;"Шляпная коробка От самого сердца";"- Прямые поставки свежей клубники, каждое утро, которая бережно отбирается и моется нашими флористами. - Никаких мелких и кривых ягод! - Мы делаем максимально качественные букеты, поэтому вы можете не переживать, что букет не будет соответствовать фотографии.";"in stock";new;7890.00;https://veryberrylab.ru/product/ot-samogo-serdtsa3/;https://veryberrylab.ru/upload/iblock/912/91219fe675048b16ba0b30c9823ebb11.jpg;"Very Berry Lab"
1695;"Шляпная коробка Шоколадное сердце";"- Прямые поставки свежей клубники, каждое утро, которая бережно отбирается и моется нашими флористами. - Никаких мелких и кривых ягод! - Мы делаем максимально качественные букеты, поэтому вы можете не переживать, что букет не будет соответствовать фотографии.";"in stock";new;4390.00;https://veryberrylab.ru/product/shokoladnoe-serdtse31240765/;https://veryberrylab.ru/upload/iblock/393/393b9a622a36f265b012424521b2ca11.jpg;"Very Berry Lab"
1696;"Шляпная коробка Шоколадное сердце";"- Прямые поставки свежей клубники, каждое утро, которая бережно отбирается и моется нашими флористами. - Никаких мелких и кривых ягод! - Мы делаем максимально качественные букеты, поэтому вы можете не переживать, что букет не будет соответствовать фотографии.";"in stock";new;6790.00;https://veryberrylab.ru/product/shokoladnoe-serdtse12134326/;https://veryberrylab.ru/upload/iblock/a81/a81effff8ec1376561bf913b49f5e33f.JPG;"Very Berry Lab"
